iteration,scenario,metric,run,score
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,r1,80.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,r2,75.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,r3,50.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,r4,91.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,r5,83.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,NR,r1,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,NR,r2,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,NR,r3,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,NR,r4,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,NR,r5,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,DLC,r1,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,DLC,r2,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,DLC,r3,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,DLC,r4,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,DLC,r5,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,RAC,r1,33.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,RAC,r2,33.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,RAC,r3,33.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,RAC,r4,33.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,RAC,r5,33.0
1st iteration,Food Logistics FS-Persona-cot,T,r1,100.0
1st iteration,Food Logistics FS-Persona-cot,T,r2,100.0
1st iteration,Food Logistics FS-Persona-cot,T,r3,100.0
1st iteration,Food Logistics FS-Persona-cot,T,r4,100.0
1st iteration,Food Logistics FS-Persona-cot,T,r5,100.0
1st iteration,Food Logistics FS-Persona-cot,MAI,r1,97.0
1st iteration,Food Logistics FS-Persona-cot,MAI,r2,91.0
1st iteration,Food Logistics FS-Persona-cot,MAI,r3,91.0
1st iteration,Food Logistics FS-Persona-cot,MAI,r4,89.0
1st iteration,Food Logistics FS-Persona-cot,MAI,r5,100.0
1st iteration,Food Logistics FS-Persona-cot,GTC_A,r1,0.0
1st iteration,Food Logistics FS-Persona-cot,GTC_A,r2,100.0
1st iteration,Food Logistics FS-Persona-cot,GTC_A,r3,0.0
1st iteration,Food Logistics FS-Persona-cot,GTC_A,r4,100.0
1st iteration,Food Logistics FS-Persona-cot,GTC_A,r5,100.0
1st iteration,Food Logistics FS-Persona-cot,GTC_Q,r1,100.0
1st iteration,Food Logistics FS-Persona-cot,GTC_Q,r2,100.0
1st iteration,Food Logistics FS-Persona-cot,GTC_Q,r3,100.0
1st iteration,Food Logistics FS-Persona-cot,GTC_Q,r4,100.0
1st iteration,Food Logistics FS-Persona-cot,GTC_Q,r5,100.0
1st iteration,Food Logistics FS-Persona-cot,GTC_P,r1,76.0
1st iteration,Food Logistics FS-Persona-cot,GTC_P,r2,100.0
1st iteration,Food Logistics FS-Persona-cot,GTC_P,r3,88.0
1st iteration,Food Logistics FS-Persona-cot,GTC_P,r4,100.0
1st iteration,Food Logistics FS-Persona-cot,GTC_P,r5,100.0
1st iteration,Food Logistics FS-Persona-cot,IC,r1,83.0
1st iteration,Food Logistics FS-Persona-cot,IC,r2,83.0
1st iteration,Food Logistics FS-Persona-cot,IC,r3,91.0
1st iteration,Food Logistics FS-Persona-cot,IC,r4,91.0
1st iteration,Food Logistics FS-Persona-cot,IC,r5,91.0
1st iteration,Food Logistics FS-Persona-cot,NR,r1,100.0
1st iteration,Food Logistics FS-Persona-cot,NR,r2,100.0
1st iteration,Food Logistics FS-Persona-cot,NR,r3,100.0
1st iteration,Food Logistics FS-Persona-cot,NR,r4,100.0
1st iteration,Food Logistics FS-Persona-cot,NR,r5,100.0
1st iteration,Food Logistics FS-Persona-cot,DLC,r1,50.0
1st iteration,Food Logistics FS-Persona-cot,DLC,r2,50.0
1st iteration,Food Logistics FS-Persona-cot,DLC,r3,100.0
1st iteration,Food Logistics FS-Persona-cot,DLC,r4,50.0
